trajectory,path_index,parent_index,sector,mode,phi_H,charge_fraction,Phi1,T_MeV,mu_B_MeV,mu_B_over_T,s_over_T3,n_B_over_T3,s_over_n_B,branch_id,locally_stable,inside_spinodal,reduced_distance_to_CEP,Re_omega_hat,Im_omega_hat,shooting_source_residual,spectral_distance_hat,spectral_overlap_parent,spectral_pencil_residual
mu_over_T_2,5,4,singlet,0,2.25,0.19718690640801326,3.296647638247193,161.30692817695865,322.61385635391065,1.9999999999999587,7.939330387114761,0.35310368123494545,22.4844169263479,stable_crossover,True,False,0.7182265059020311,1.1560409568231274,-0.4377254338670081,1.5906467513050716e-13,9.801559961343443e-07,0.999926868010646,9.756512239846455e-16
mu_over_T_2,6,5,singlet,0,2.0,0.18697337911367887,2.5299559324616476,174.2432565471141,348.4865074169395,1.9999999674174553,9.405552580629182,0.4299158687854955,21.877658545611954,stable_crossover,True,False,0.7948726370715244,1.1170715790791723,-0.48580039201740066,1.4224670094255062e-11,1.077436852157044e-06,0.9999338588830458,9.483509856038481e-16
mu_over_T_2,7,6,singlet,0,1.75,0.17713013141878842,2.0332032670458062,190.1330444939041,380.26608898780404,1.9999999999999782,10.948122252472318,0.4952104505953861,22.108019407323717,stable_crossover,True,False,0.9066566182136726,1.0806445417301407,-0.5368165398073579,1.9605128226391265e-12,1.255563695725445e-06,0.9999432474252646,1.2325696066417492e-15
mu_over_T_2,8,7,singlet,0,1.5,0.16918219687844477,1.7194895627160605,210.38319114009806,420.76637311581135,1.999999956439558,12.519648228335342,0.5478718563174034,22.85141695813304,stable_crossover,True,False,1.0680459005426963,1.0482886097510713,-0.5886450939015103,6.621710177097226e-12,1.5351743235382135e-06,0.9999539836990923,1.0430127228205206e-15
mu_over_T_2,9,8,singlet,0,1.25,0.16340683542265194,1.5235075429928202,237.63777276134357,475.2755419991435,1.9999999851726282,14.054023252089316,0.5888857513914973,23.86544965450532,stable_crossover,True,False,1.3056164602322642,1.0210972449892757,-0.6384137942857099,4.84052162714997e-12,1.926400261011828e-06,0.9999654152140781,1.077066458230995e-15
mu_over_T_2,10,9,singlet,0,1.0,0.1594491939978916,1.4009352901724836,277.0311949867858,554.0623849295495,1.9999999817925842,15.471374233459446,0.6199312610736185,24.956596327576033,stable_crossover,True,False,1.6713546584894527,0.9997319857111668,-0.6827773886746712,4.806006870354047e-12,2.411863561749103e-06,0.9999766599227213,9.72868819319107e-16
mu_over_T_2,11,10,singlet,0,0.75,0.15682596377867544,1.324120752231714,339.8575212735071,679.7150425470033,1.9999999999999682,16.68701706533312,0.6426080477900233,25.967644075920006,stable_crossover,True,False,2.2802221850197073,0.9843011419893722,-0.7186915606376653,1.1485620140461778e-09,2.9305597015299633e-06,0.9999864345542895,1.0929528810279854e-15
mu_over_T_2,17,16,tensor,0,5.0,0.019326126434498197,68.5607514599236,87.142214812853,174.28442532354302,1.9999999506305528,0.6484495239697827,6.879148726357398e-05,9426.304761885058,stable_crossover,True,False,0.7241799096617293,1.6507293575851683,-0.660868176406692,1.889996073453367e-11,0.00021413320666370539,0.9999466669746108,4.523465653336909e-16
mu_over_T_2,16,15,tensor,0,4.75,0.03236052899870549,55.06412800026921,93.51384000528438,187.02768000970022,1.999999999990712,0.8122749876555013,0.00026001233311544186,3123.986381426232,stable_crossover,True,False,0.6918566817227215,1.6353908687151544,-0.6542385238868446,6.215935394608856e-12,0.00014344703636144535,0.9999425534246588,5.483831627489248e-16
mu_over_T_2,15,14,tensor,0,4.5,0.05070022665833269,43.747401713128724,99.85141881163646,199.70283762098762,1.999999999977113,1.0210667895125864,0.0008708634399523626,1172.4763523985348,stable_crossover,True,False,0.664482241006017,1.6225451689407042,-0.655728469596617,7.023331500233498e-12,0.00010490539512346917,0.9999375353223839,4.950252807415632e-16
